,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,isDrafted,Year
296,Ryan Tujague,OG,Washington State,77,297,5.16,27.0,21,96,8.18,4.95,0,2000
297,Jeff Ulbrich,ILB,Hawaii,72,249,4.65,32.0,24,109,7.23,4.30,1,2000
298,Brian Urlacher,OLB,New Mexico,76,258,4.59,34.0,27,122,6.94,4.18,1,2000
299,Darrick Vaughn,CB,Texas State,71,196,4.53,36.5,14,121,7.09,4.16,1,2000
300,Andy Vincent,OG,Texas A&M,76,306,5.20,28.5,14,108,7.54,4.42,0,2000
301,Todd Wade,OT,Mississippi,80,326,5.22,27.5,29,101,7.68,4.68,1,2000
303,Darwin Walker,DT,Tennessee,74,293,4.82,,,,,,1,2000
304,Troy Walters,WR,Stanford,66,171,4.55,32.5,,106,6.61,3.84,1,2000
306,Steve Warren,DT,Nebraska,73,307,5.10,30.5,29,105,7.97,4.56,1,2000
307,Peter Warrick,WR,Florida State,71,194,4.58,,,,,,1,2000
308,Jason Webster,CB,Texas A&M,69,180,4.42,35.5,17,122,6.76,3.98,1,2000
309,James Whalen,TE,Kentucky,74,228,4.78,31.0,,110,7.42,4.22,1,2000
310,Austin Wheatley,TE,Iowa,76,254,4.66,32.5,,121,6.97,4.18,1,2000
311,Damen Wheeler,CB,Colorado,69,179,4.51,35.0,11,115,7.21,4.27,1,2000
312,Anthony White,RB,Kentucky,72,195,4.68,32.5,,118,7.05,4.24,0,2000
313,Jerard White,CB,Massachusetts,73,213,4.61,38.5,14,118,6.96,4.53,0,2000
314,Dez White,WR,Georgia Tech,73,218,4.62,37.5,,124,6.91,4.09,1,2000
315,Michael Wiley,RB,Ohio State,71,193,4.50,,,,,,1,2000
316,Boo Williams,RB,South Carolina,71,222,4.52,,,,,,0,2000
317,Bobbie Williams,OT,Arkansas,76,332,5.26,29.0,28,97,7.78,4.72,1,2000
318,James Williams,WR,Marshall,71,180,4.59,36.0,,123,7.22,4.16,1,2000
319,Jack Williams,S,Azusa Pacific,70,206,4.72,31.5,15,108,7.15,4.65,1,2000
320,Josh Williams,DT,Michigan,75,282,4.90,30.5,,111,7.22,4.25,1,2000
321,Antonio Wilson,OLB,Texas A&M-Commerce,74,245,4.56,,11,,,,1,2000
